ticker,date,net_cash_provided_by_investing_activities,net_interest_paid,cash_and_cash_equivalents
A,2021-04-30,"-587,000,000","17,000,000","1,387,000,000"
A,2021-01-31,"-42,000,000","19,000,000","1,336,000,000"
A,2020-10-31,"-27,000,000","18,000,000","1,447,000,000"
A,2020-07-31,"-32,000,000","14,000,000","1,364,000,000"
A,2020-04-30,"-53,000,000","22,000,000","1,328,000,000"
A,2020-01-31,"-35,000,000","17,000,000","1,232,000,000"
A,2019-10-31,"-1,190,000,000","19,000,000","1,388,000,000"
A,2019-07-31,"-51,000,000","25,000,000","1,771,000,000"
A,2019-04-30,"-56,000,000","11,000,000","2,160,000,000"
A,2019-01-31,"-290,000,000","25,000,000","2,064,000,000"
A,2018-10-31,"-114,000,000","12,000,000","2,247,000,000"
A,2018-07-31,"-473,000,000","25,000,000","2,131,000,000"
A,2018-04-30,"-50,000,000","14,000,000","3,011,000,000"
A,2018-01-31,"-67,000,000","29,000,000","2,887,000,000"
A,2017-10-31,"-60,000,000","","2,678,000,000"
A,2017-07-31,"-101,000,000","29,000,000","2,563,000,000"
A,2017-04-30,"-43,000,000","11,000,000","2,388,000,000"
A,2017-01-31,"-101,000,000","29,000,000","2,240,000,000"
A,2016-10-31,"-78,000,000","","2,288,000,000"
A,2016-07-31,"-24,000,000","29,000,000","2,199,000,000"
A,2016-04-30,"-108,000,000","8,000,000","2,139,000,000"
A,2016-01-31,"-28,000,000","29,000,000","1,931,000,000"
A,2015-10-31,"-275,000,000","","2,003,000,000"
A,2015-07-31,"-87,000,000","","2,075,000,000"
A,2015-04-30,"-7,000,000","","2,196,000,000"
A,2015-01-31,"-31,000,000","","2,118,000,000"
A,2014-10-31,"-58,000,000","","3,028,000,000"
A,2014-07-31,"-70,000,000","","2,391,000,000"
A,2014-04-30,"-55,000,000","","2,950,000,000"
A,2014-01-31,"-47,000,000","","2,742,000,000"
A,2013-10-31,"-51,000,000","","2,675,000,000"
A,2013-07-31,"-54,000,000","","2,329,000,000"
A,2013-04-30,"-71,000,000","","2,519,000,000"
A,2013-01-31,"-72,000,000","","2,449,000,000"
A,2012-10-31,"-92,000,000","","2,351,000,000"
A,2012-07-31,"-2,200,000,000","","1,923,000,000"
A,2012-04-30,"-57,000,000","","3,896,000,000"
A,2012-01-31,"-23,000,000","","3,662,000,000"
A,2011-10-31,"-48,000,000","","3,527,000,000"
A,2011-07-31,"-32,000,000","","3,100,000,000"
A,2011-04-30,"-126,000,000","","2,975,000,000"
A,2011-01-31,"1,500,000,000","","2,638,000,000"
A,2010-10-31,"-42,900,000","","2,648,000,000"
A,2010-07-31,"-1,090,000,000","","2,316,000,000"
A,2010-04-30,"-2,000,000","","2,646,000,000"
A,2010-01-31,"-31,000,000","","2,480,000,000"
A,2009-10-31,"-48,000,000","","2,479,000,000"
A,2009-07-31,"62,000,000","","1,479,000,000"
A,2009-04-30,"-17,000,000","","1,400,000,000"
A,2009-01-31,"-11,000,000","","1,362,000,000"
A,2008-10-31,"-770,000,000","","1,404,000,000"
A,2008-07-31,"","","1,640,000,000"
A,2007-10-31,"","","1,826,000,000"
