ticker,date,total_revenue
AA,2021-06-30,"2,832,000,000"
AA,2021-03-31,"2,870,000,000"
AA,2020-12-31,"2,391,000,000"
AA,2020-09-30,"2,365,000,000"
AA,2020-06-30,"2,148,000,000"
AA,2020-03-31,"2,380,000,000"
AA,2019-12-31,"2,436,000,000"
AA,2019-09-30,"2,567,000,000"
AA,2019-06-30,"2,711,000,000"
AA,2019-03-31,"2,719,000,000"
AA,2018-12-31,"3,344,000,000"
AA,2018-09-30,"3,389,000,000"
AA,2018-06-30,"3,579,000,000"
AA,2018-03-31,"3,089,000,000"
AA,2017-12-31,"3,173,000,000"
AA,2017-09-30,"2,964,000,000"
AA,2017-06-30,"2,858,000,000"
AA,2017-03-31,"2,655,000,000"
AA,2016-12-31,"2,536,000,000"
AA,2016-09-30,"2,329,000,000"
AA,2016-06-30,"2,322,000,000"
AA,2016-03-31,"2,128,000,000"
AA,2015-12-31,"2,450,000,000"
