ticker,date,cash_and_cash_equivalents,total_current_liabilities,total_liabilities
AAGH,2021-03-31,175500,383000,472100
AAGH,2020-12-31,368900,517800,619700
AAGH,2020-09-30,3857,220000,
AAGH,2020-06-30,3894,218900,218900
AAGH,2020-03-31,84,182500,
AAGH,2019-12-31,147,181100,
AAGH,2019-09-30,47,171000,
AAGH,2019-06-30,102,168100,
AAGH,2019-03-31,198,159300,
AAGH,2018-12-31,136,151700,
AAGH,2018-09-30,12070,127100,
AAGH,2018-06-30,13090,120500,
AAGH,2018-03-31,,87420,
AAGH,2017-12-31,,77700,
AAGH,2017-09-30,,65250,
AAGH,2017-06-30,3927,51990,51990
AAGH,2017-03-31,,8517,8517
AAGH,2016-12-31,4057,769300,
AAGH,2016-09-30,7579,769300,
AAGH,2016-06-30,4669,174500,1342000
AAGH,2016-03-31,15340,89970,
AAGH,2015-12-31,35850,69970,
AAGH,2015-09-30,441500,141800,1211000
AAGH,2015-06-30,24270,481200,1016000
AAGH,2015-03-31,2484,381200,
AAGH,2014-12-31,39570,281200,
AAGH,2014-09-30,,139700,
AAGH,2014-06-30,,38660,
AAGH,2014-03-31,,4661,
AAGH,2013-12-31,,661,
AAGH,2013-09-30,93500,119300,
AAGH,2013-06-30,19740,59730,
AAGH,2013-03-31,55530,40360,
AAGH,2012-12-31,5076,40360,
AAGH,2012-09-30,15220,170800,
AAGH,2012-06-30,281,59730,
AAGH,2012-03-31,132,10100,
