ticker,date,total_current_assets,total_assets,total_current_liabilities,non_current_portion_of_long_term_debt
AAL,2021-06-30,2.264e+10,7.246e+10,2.152e+10,3.72e+10
AAL,2021-03-31,1.808e+10,6.864e+10,1.733e+10,3.724e+10
AAL,2020-12-31,1.109e+10,6.2e+10,1.656e+10,2.979e+10
AAL,2020-09-30,1.233e+10,6.277e+10,1.658e+10,3.007e+10
AAL,2020-06-30,1.378e+10,6.454e+10,1.799e+10,2.869e+10
AAL,2020-03-31,7.175e+09,5.858e+10,1.921e+10,2.156e+10
AAL,2019-12-31,8.206e+09,5.999e+10,1.831e+10,2.145e+10
AAL,2019-09-30,9.571e+09,6.117e+10,1.955e+10,2.162e+10
AAL,2019-06-30,9.85e+09,6.196e+10,2.012e+10,2.179e+10
AAL,2019-03-31,8.654e+09,6.078e+10,1.984e+10,2.066e+10
AAL,2018-12-31,8.636e+09,6.057e+10,1.809e+10,2.117e+10
AAL,2018-09-30,9.498e+09,5.263e+10,1.634e+10,2.227e+10
AAL,2018-06-30,9.176e+09,5.262e+10,1.666e+10,2.186e+10
AAL,2018-03-31,9.672e+09,5.327e+10,1.7e+10,2.194e+10
AAL,2017-12-31,9.146e+09,5.139e+10,1.496e+10,2.251e+10
AAL,2017-09-30,1e+10,5.24e+10,1.53e+10,2.221e+10
AAL,2017-06-30,1.101e+10,5.333e+10,1.611e+10,2.252e+10
AAL,2017-03-31,1.062e+10,5.262e+10,1.528e+10,2.282e+10
AAL,2016-12-31,1.032e+10,5.127e+10,1.387e+10,2.248e+10
AAL,2016-09-30,1.104e+10,5.11e+10,1.453e+10,2.154e+10
AAL,2016-06-30,1.118e+10,5.105e+10,1.491e+10,2.113e+10
AAL,2016-03-31,1.08e+10,4.99e+10,1.527e+10,1.913e+10
AAL,2015-12-31,9.985e+09,4.841e+10,1.36e+10,1.832e+10
AAL,2015-09-30,1.37e+10,4.871e+10,1.416e+10,1.884e+10
AAL,2015-06-30,1.41e+10,4.786e+10,1.504e+10,1.715e+10
AAL,2015-03-31,1.412e+10,4.675e+10,1.423e+10,1.763e+10
AAL,2014-12-31,1.211e+10,4.377e+10,1.343e+10,1.619e+10
AAL,2014-09-30,1.345e+10,4.417e+10,1.388e+10,1.565e+10
AAL,2014-06-30,1.496e+10,4.481e+10,1.508e+10,1.52e+10
AAL,2014-03-31,1.519e+10,4.373e+10,1.507e+10,1.524e+10
AAL,2013-12-31,1.432e+10,4.227e+10,1.38e+10,1.535e+10
AAL,2013-09-30,1.024e+10,2.678e+10,1.009e+10,
AAL,2013-06-30,9.635e+09,2.621e+10,1.066e+10,
AAL,2013-03-31,7.525e+09,2.385e+10,9.989e+09,
AAL,2012-12-31,7.072e+09,2.35e+10,9.304e+09,7.116e+09
AAL,2012-09-30,7.303e+09,2.392e+10,9.585e+09,
AAL,2012-06-30,7.984e+09,2.472e+10,1.006e+10,
AAL,2012-03-31,7.777e+09,2.451e+10,9.543e+09,
AAL,2011-12-31,6.757e+09,2.384e+10,8.629e+09,
AAL,2011-09-30,6.838e+09,2.471e+10,8.922e+09,
AAL,2011-06-30,7.997e+09,2.578e+10,9.765e+09,
AAL,2011-03-31,8.824e+09,2.711e+10,9.852e+09,
AAL,2010-12-31,6.838e+09,2.508e+10,8.78e+09,
AAL,2010-09-30,6.837e+09,2.535e+10,8.938e+09,
AAL,2010-06-30,7.344e+09,2.588e+10,9.358e+09,
