ticker,date,net_cash_provided_by_operating_activities,net_cash_provided_by_investing_activities,net_cash_provided_by_financing_activities,net_interest_paid,net_income,cash_and_cash_equivalents
AAL,2021-06-30,3.47e+09,-3.88e+09,444900000,2.08e+08,,4.65e+08
AAL,2021-03-31,1.74e+08,-7.15e+09,7.013e+09,4.79e+08,,4.34e+08
AAL,2020-12-31,-2.86e+09,1.696e+09,1.269e+09,,-2.17e+09,3.99e+08
AAL,2020-09-30,-2.6e+09,922900000,1.51e+09,2.14e+08,-2.39e+09,2.97e+08
AAL,2020-06-30,-9.08e+08,-6.79e+09,7.688e+09,2.62e+08,-2.06e+09,4.67e+08
AAL,2020-03-31,-1.68e+08,-1.62e+08,5.26e+08,2.39e+08,-2.24e+09,4.86e+08
AAL,2019-12-31,6e+08,638900000,-1.27e+09,,4.14e+08,2.9e+08
AAL,2019-09-30,8.28e+08,-4.68e+08,-3.66e+08,2.58e+08,4.25e+08,3.23e+08
AAL,2019-06-30,7.36e+08,-1.93e+09,1.178e+09,2.92e+08,6.62e+08,3.3e+08
AAL,2019-03-31,1.651e+09,-4.8e+08,-1.1e+09,2.67e+08,1.85e+08,3.48e+08
AAL,2018-12-31,728900000,-3.89e+08,-3.67e+08,,3.25e+08,2.86e+08
AAL,2018-09-30,-7.9e+07,-5.48e+08,6.36e+08,2.59e+08,3.72e+08,3.14e+08
AAL,2018-06-30,1.084e+09,-7.9e+07,-1.09e+09,2.84e+08,5.56e+08,3.05e+08
AAL,2018-03-31,1.799e+09,-9.56e+08,-8.41e+08,2.58e+08,1.59e+08,4e+08
AAL,2017-12-31,4.37e+08,-5.56e+08,7.5e+07,,2.58e+08,3.98e+08
AAL,2017-09-30,368900000,1.84e+08,-5.99e+08,2.62e+08,6.24e+08,4.44e+08
AAL,2017-06-30,1.688e+09,-1.4e+09,-2.72e+08,2.61e+08,8.03e+08,4.89e+08
AAL,2017-03-31,2.249e+09,-1.84e+09,-3.49e+08,2.55e+08,2.34e+08,4.67e+08
AAL,2016-12-31,6.27e+08,-1.05e+09,3.7e+08,,2.89e+08,4.36e+08
AAL,2016-09-30,1.064e+09,-8.7e+08,-2.58e+08,2.35e+08,7.37e+08,
AAL,2016-06-30,2.212e+09,-1.65e+09,-6.05e+08,2.51e+08,9.5e+08,
AAL,2016-03-31,2.62e+09,-2.11e+09,-4.01e+08,2.28e+08,7e+08,
AAL,2015-12-31,227900000,4.38e+08,-1.29e+09,,3.28e+09,5.07e+08
AAL,2015-09-30,1.18e+09,-1.33e+09,2.21e+08,2.15e+08,1.692e+09,
AAL,2015-06-30,2.346e+09,-1.49e+09,-9.5e+08,2.14e+08,1.704e+09,
AAL,2015-03-31,2.494e+09,-3.2e+09,7.62e+08,2.19e+08,9.32e+08,
AAL,2014-12-31,8.04e+08,-7.86e+08,-2.02e+08,,5.97e+08,
AAL,2014-09-30,-3.6e+08,2.22e+08,1.07e+08,2.73e+08,9.42e+08,1.178e+09
AAL,2014-06-30,1.38e+09,-1.4e+09,-2.6e+07,1.63e+08,8.64e+08,1.21e+09
AAL,2014-03-31,1.256e+09,-9.43e+08,-1.94e+08,2.04e+08,4.8e+08,1.259e+09
AAL,2013-12-31,-1.12e+09,1.277e+09,272900000,,-2e+09,1.14e+09
AAL,2013-09-30,-36900000,-1.1e+09,1.257e+09,2.41e+08,2.89e+08,7.17e+08
AAL,2013-06-30,1.157e+09,-2.89e+09,1.737e+09,6.5e+07,2.2e+08,6.04e+08
AAL,2013-03-31,6.83e+08,-1.08e+09,5.31e+08,1.25e+08,-3.41e+08,6.06e+08
AAL,2012-12-31,-2.88e+08,-3.67e+08,6.27e+08,,2.63e+08,4.8e+08
AAL,2012-09-30,-1.54e+08,3.96e+08,-1.04e+08,,-2.38e+08,5.08e+08
AAL,2012-06-30,6.55e+08,-6.15e+08,-4.4e+07,,-2.41e+08,3.71e+08
AAL,2012-03-31,1.067e+09,-9.85e+08,1e+07,,-1.66e+09,3.75e+08
AAL,2011-12-31,3.34e+08,-3.62e+08,7e+06,,-1.09e+09,2.83e+08
AAL,2011-09-30,-3.07e+08,3.68e+08,-7.5e+07,,-1.62e+08,3.04e+08
AAL,2011-06-30,-5.5e+07,2.57e+08,-1.7e+08,,-2.86e+08,3.18e+08
AAL,2011-03-31,7.08e+08,-1.55e+09,9.65e+08,,-4.36e+08,2.86e+08
AAL,2010-12-31,150900000,-5.34e+08,3.49e+08,,-9.7e+07,1.68e+08
AAL,2010-09-30,-82900000,-1.22e+08,2.1e+08,,1.43e+08,2.02e+08
AAL,2010-06-30,716900000,-9.46e+08,2.37e+08,,-1.1e+07,1.97e+08
AAL,2009-12-31,4e+06,-6.6e+08,6.38e+08,,,1.53e+08
AAL,2008-12-31,,,,,,1.91e+08
AAL,2007-12-31,,,,,,1.48e+08
AAL,2010-03-31,4.56e+08,-4.28e+08,8e+06,,-5.05e+08,1.89e+08
AAL,2009-09-30,-1.2e+07,-1.81e+09,1.802e+09,,,1.71e+08
