ticker,date,cash_and_cash_equivalents,net_interest_paid,net_cash_provided_by_operating_activities,net_cash_provided_by_investing_activities,net_cash_provided_by_financing_activities
HD,2021-07-31,"4,566,000,000","244,000,000","3,636,000,000","-930,000,000","-4,760,000,000"
HD,2021-04-30,"6,648,000,000","382,000,000","6,310,000,000","-528,000,000","-7,070,000,000"
HD,2021-01-31,"7,895,000,000","254,900,000","1,423,000,000","-8,710,000,000","441,900,000"
HD,2020-10-31,"14,650,000,000","399,000,000","2,586,000,000","-431,000,000","-1,620,000,000"
HD,2020-07-31,"14,130,000,000","249,000,000","9,091,000,000","-442,000,000","-3,240,000,000"
HD,2020-04-30,"8,696,000,000","338,000,000","5,736,000,000","-578,000,000","1,450,000,000"
HD,2020-01-31,"2,132,000,000","202,000,000","3,059,000,000","-772,000,000","-2,350,000,000"
HD,2019-10-31,"2,192,000,000","352,000,000","2,166,000,000","-631,000,000","-1,990,000,000"
HD,2019-07-31,"2,547,000,000","213,000,000","3,921,000,000","-560,000,000","-2,710,000,000"
HD,2019-04-30,"1,882,000,000","345,000,000","4,575,000,000","-688,000,000","-3,770,000,000"
HD,2019-01-31,"1,778,000,000","180,000,000","3,002,000,000","-723,000,000","-2,240,000,000"
HD,2018-10-31,"1,764,000,000","340,000,000","2,128,000,000","-617,000,000","-3,360,000,000"
HD,2018-07-31,"3,489,000,000","176,000,000","3,925,000,000","-527,000,000","-3,410,000,000"
HD,2018-04-30,"3,599,000,000","339,000,000","3,980,000,000","-548,000,000","-3,400,000,000"
HD,2018-01-31,"3,595,000,000","154,000,000","2,289,000,000","-652,000,000","-1,610,000,000"
HD,2017-10-31,"3,548,000,000","347,000,000","1,878,000,000","-484,000,000","-2,600,000,000"
HD,2017-07-31,"4,830,000,000","169,000,000","3,298,000,000","-646,000,000","-1,560,000,000"
HD,2017-04-30,"3,564,000,000","321,000,000","4,563,000,000","-445,000,000","-3,080,000,000"
HD,2017-01-31,"2,537,000,000","","1,864,000,000","-468,000,000","-2,440,000,000"
HD,2016-10-31,"3,588,000,000","","1,041,000,000","-441,000,000","-1,000,000,000"
HD,2016-07-31,"4,017,000,000","","3,241,000,000","-353,000,000","-2,080,000,000"
HD,2016-04-30,"3,256,000,000","","3,636,000,000","-321,000,000","-2,330,000,000"
HD,2016-01-31,"2,216,000,000","","2,006,000,000","-405,000,000","-2,360,000,000"
HD,2015-10-31,"3,040,000,000","","1,432,000,000","-2,020,000,000","-1,280,000,000"
HD,2015-07-31,"4,936,000,000","","2,530,000,000","-236,000,000","-139,000,000"
HD,2015-04-30,"2,827,000,000","","3,404,000,000","-317,000,000","-2,000,000,000"
HD,2015-01-31,"1,723,000,000","","1,994,000,000","-504,000,000","-1,860,000,000"
HD,2014-10-31,"2,180,000,000","","961,900,000","-264,000,000","-2,710,000,000"
HD,2014-07-31,"4,216,000,000","","2,717,000,000","-223,000,000","-790,000,000"
HD,2014-04-30,"2,511,000,000","","2,568,000,000","-280,000,000","-1,700,000,000"
HD,2014-01-31,"1,928,000,000","","1,647,000,000","-562,000,000","-3,970,000,000"
HD,2013-10-31,"4,853,000,000","","1,263,000,000","-349,000,000","528,000,000"
HD,2013-07-31,"3,419,000,000","","2,021,000,000","-320,000,000","-2,610,000,000"
HD,2013-04-30,"4,336,000,000","","2,696,000,000","-276,000,000","-589,000,000"
HD,2013-01-31,"2,494,000,000","","1,591,000,000","-445,000,000","-1,190,000,000"
HD,2012-10-31,"2,553,000,000","","1,123,000,000","-406,000,000","-984,000,000"
HD,2012-07-31,"2,809,000,000","","1,771,000,000","-360,000,000","-1,760,000,000"
HD,2012-04-30,"3,191,000,000","","2,489,000,000","-221,000,000","-1,080,000,000"
HD,2012-01-31,"1,987,000,000","","960,000,000","-445,000,000","-751,000,000"
HD,2011-10-31,"2,233,000,000","","1,203,000,000","-241,000,000","-1,250,000,000"
HD,2011-07-31,"2,551,000,000","","2,389,000,000","-258,000,000","-1,370,000,000"
HD,2011-04-30,"1,806,000,000","","2,098,000,000","-184,000,000","-664,000,000"
HD,2011-01-31,"545,000,000","","599,000,000","-388,000,000","-1,080,000,000"
HD,2010-10-31,"1,424,000,000","","622,900,000","-261,000,000","-1,330,000,000"
HD,2010-07-31,"2,395,000,000","","1,324,000,000","-223,000,000","-1,130,000,000"
HD,2010-04-30,"2,436,000,000","","2,039,000,000","-140,000,000","-893,000,000"
HD,2010-01-31,"1,420,000,000","","461,000,000","-370,000,000","-1,400,000,000"
HD,2009-10-31,"2,719,000,000","","1,336,000,000","-171,000,000","-1,570,000,000"
HD,2009-07-31,"3,107,000,000","","1,600,000,000","-131,000,000","-572,000,000"
HD,2009-04-30,"2,214,000,000","","1,727,000,000","-83,000,000","43,000,000"
HD,2009-01-31,"519,000,000","","734,000,000","-364,000,000","-684,000,000"
HD,2008-10-31,"864,000,000","","1,109,000,000","-504,000,000","-764,000,000"
HD,2008-07-31,"1,051,000,000","","","",""
HD,2008-01-31,"445,000,000","","","",""
